x-axis,1,2,3
second,Volt,Volt,Volt
-6.50000E-03,,,
-6.47500E-03,+22.80905E-03,+3.21608043E+00,-420.52771E-03
-6.45000E-03,+24.16583E-03,+3.20979902E+00,-470.77897E-03
-6.42500E-03,+24.36683E-03,+3.01507540E+00,-276.05535E-03
-6.40000E-03,+25.37186E-03,+3.21608043E+00,-276.05535E-03
-6.37500E-03,+26.60302E-03,+3.21608043E+00,-276.05535E-03
-6.35000E-03,+28.21106E-03,+3.21608043E+00,-276.05535E-03
-6.32500E-03,+30.62312E-03,+3.05904525E+00,-320.02520E-03
-6.30000E-03,+33.83920E-03,+3.10929651E+00,-276.05535E-03
-6.27500E-03,+37.63317E-03,+3.15954776E+00,-276.05535E-03
-6.25000E-03,+41.85427E-03,+3.01507540E+00,-276.05535E-03
-6.22500E-03,+45.89950E-03,+3.21608043E+00,-433.09053E-03
-6.20000E-03,+50.72362E-03,+3.01507540E+00,-276.05535E-03
-6.17500E-03,+53.93970E-03,+3.15954776E+00,-276.05535E-03
-6.15000E-03,+54.74372E-03,+3.01507540E+00,-276.05535E-03
-6.12500E-03,+53.76382E-03,+3.17211058E+00,-433.09053E-03
-6.10000E-03,+49.91960E-03,+3.10929651E+00,-276.05535E-03
-6.07500E-03,+44.29146E-03,+3.01507540E+00,-276.05535E-03
-6.05000E-03,+37.85930E-03,+3.01507540E+00,-282.33676E-03
-6.02500E-03,+32.23116E-03,+3.01507540E+00,-276.05535E-03
-6.00000E-03,+26.60302E-03,+3.01507540E+00,-382.83927E-03
-5.97500E-03,+21.77889E-03,+3.01507540E+00,-420.52771E-03
-5.95000E-03,+18.53769E-03,+3.01507540E+00,-276.05535E-03
-5.92500E-03,+15.34673E-03,+2.97110555E+00,-276.05535E-03
-5.90000E-03,+12.13065E-03,+2.90829148E+00,-276.05535E-03
-5.87500E-03,+10.74874E-03,+3.01507540E+00,-276.05535E-03
-5.85000E-03,+8.91457E-03,+2.82035178E+00,-282.33676E-03
-5.82500E-03,+7.48241E-03,+3.01507540E+00,-276.05535E-03
-5.80000E-03,+6.50251E-03,+3.01507540E+00,-276.05535E-03
-5.77500E-03,+5.69849E-03,+2.87060304E+00,-420.52771E-03
-5.75000E-03,+4.11558E-03,+3.01507540E+00,-470.77897E-03
-5.72500E-03,+4.09045E-03,+2.85804022E+00,-276.05535E-03
-5.70000E-03,+3.28643E-03,+2.92085429E+00,-276.05535E-03
-5.67500E-03,+3.28643E-03,+3.01507540E+00,-276.05535E-03
-5.65000E-03,+3.28643E-03,+3.00879399E+00,-276.05535E-03
-5.62500E-03,+2.48241E-03,+3.01507540E+00,-276.05535E-03
-5.60000E-03,+1.67839E-03,+2.90829148E+00,-477.06038E-03
-5.57500E-03,+2.25628E-03,+2.95854274E+00,-276.05535E-03
-5.55000E-03,+1.67839E-03,+2.81407037E+00,-470.77897E-03
-5.52500E-03,+1.67839E-03,+2.97110555E+00,-433.09053E-03
-5.50000E-03,+1.67839E-03,+2.81407037E+00,-276.05535E-03
-5.47500E-03,+1.67839E-03,+3.01507540E+00,-276.05535E-03
-5.45000E-03,+1.67839E-03,+3.00879399E+00,-276.05535E-03
-5.42500E-03,+1.67839E-03,+2.81407037E+00,-276.05535E-03
-5.40000E-03,+874.37E-06,+2.81407037E+00,-276.05535E-03
-5.37500E-03,+1.67839E-03,+2.66959801E+00,-477.06038E-03
-5.35000E-03,+1.65327E-03,+2.80778897E+00,-276.05535E-03
-5.32500E-03,+1.67839E-03,+2.81407037E+00,-276.05535E-03
-5.30000E-03,+1.67839E-03,+2.81407037E+00,-370.27646E-03
-5.27500E-03,+1.67839E-03,+2.81407037E+00,-276.05535E-03
-5.25000E-03,+1.70352E-03,+2.61306535E+00,-282.33676E-03
-5.22500E-03,+2.48241E-03,+2.81407037E+00,-477.06038E-03
-5.20000E-03,+2.48241E-03,+2.71984927E+00,-276.05535E-03
-5.17500E-03,+2.70854E-03,+2.81407037E+00,-332.58801E-03
-5.15000E-03,+3.28643E-03,+2.81407037E+00,-470.77897E-03
-5.12500E-03,+4.09045E-03,+2.65703520E+00,-433.09053E-03
-5.10000E-03,+4.09045E-03,+2.81407037E+00,-276.05535E-03
-5.07500E-03,+4.31658E-03,+2.75753771E+00,-420.52771E-03
-5.05000E-03,+5.69849E-03,+2.81407037E+00,-276.05535E-03
-5.02500E-03,+5.69849E-03,+2.81407037E+00,-433.09053E-03
-5.00000E-03,+6.07538E-03,+2.71984927E+00,-276.05535E-03
-4.97500E-03,+6.27638E-03,+2.66959801E+00,-276.05535E-03
-4.95000E-03,+6.50251E-03,+2.80778897E+00,-470.77897E-03
-4.92500E-03,+7.13065E-03,+2.77010052E+00,-276.05535E-03
-4.90000E-03,+6.92965E-03,+2.61306535E+00,-370.27646E-03
-4.87500E-03,+7.30653E-03,+2.61306535E+00,-276.05535E-03
-4.85000E-03,+8.13568E-03,+2.61306535E+00,-276.05535E-03
-4.82500E-03,+9.54271E-03,+2.81407037E+00,-276.05535E-03
-4.80000E-03,+11.32663E-03,+2.70728645E+00,-276.05535E-03
-4.77500E-03,+13.16080E-03,+2.61306535E+00,-276.05535E-03
-4.75000E-03,+15.32161E-03,+2.61934675E+00,-276.05535E-03
-4.72500E-03,+14.71859E-03,+2.61306535E+00,-276.05535E-03
-4.70000E-03,+14.91960E-03,+2.61306535E+00,-382.83927E-03
-4.67500E-03,+15.34673E-03,+2.61306535E+00,-332.58801E-03
-4.65000E-03,+16.95477E-03,+2.61306535E+00,-276.05535E-03
-4.62500E-03,+17.75879E-03,+2.61306535E+00,-276.05535E-03
-4.60000E-03,+16.95477E-03,+2.61306535E+00,-382.83927E-03
-4.57500E-03,+14.54271E-03,+2.61306535E+00,-276.05535E-03
-4.55000E-03,+11.32663E-03,+2.61306535E+00,-276.05535E-03
-4.52500E-03,+7.93467E-03,+2.61306535E+00,-276.05535E-03
-4.50000E-03,+6.12563E-03,+2.61306535E+00,-276.05535E-03
-4.47500E-03,+4.89447E-03,+2.61306535E+00,-332.58801E-03
-4.45000E-03,+3.28643E-03,+2.61306535E+00,-477.06038E-03
-4.42500E-03,+2.48241E-03,+2.56909550E+00,-320.02520E-03
-4.40000E-03,+2.48241E-03,+2.61306535E+00,-276.05535E-03
-4.37500E-03,+2.25628E-03,+2.46859298E+00,-276.05535E-03
-4.35000E-03,+1.67839E-03,+2.60678394E+00,-282.33676E-03
-4.32500E-03,+2.30653E-03,+2.45603017E+00,-276.05535E-03
-4.30000E-03,+874.37E-06,+2.61306535E+00,-276.05535E-03
-4.27500E-03,+1.45226E-03,+2.55653268E+00,-332.58801E-03
-4.25000E-03,+1.65327E-03,+2.60678394E+00,-477.06038E-03
-4.22500E-03,+874.37E-06,+2.41206032E+00,-276.05535E-03
-4.20000E-03,+874.37E-06,+2.50628143E+00,-382.83927E-03
-4.17500E-03,+874.37E-06,+2.46859298E+00,-477.06038E-03
-4.15000E-03,+874.37E-06,+2.41206032E+00,-276.05535E-03
-4.12500E-03,+874.37E-06,+2.41206032E+00,-276.05535E-03
-4.10000E-03,+1.30151E-03,+2.41206032E+00,-276.05535E-03
-4.07500E-03,+1.45226E-03,+2.41206032E+00,-477.06038E-03
-4.05000E-03,+874.37E-06,+2.41206032E+00,-276.05535E-03
-4.02500E-03,+1.05025E-03,+2.41206032E+00,-276.05535E-03
-4.00000E-03,+1.25126E-03,+2.41206032E+00,-276.05535E-03
-3.97500E-03,+1.45226E-03,+2.41206032E+00,-276.05535E-03
-3.95000E-03,+1.65327E-03,+2.41206032E+00,-276.05535E-03
-3.92500E-03,+1.67839E-03,+2.41206032E+00,-433.09053E-03
-3.90000E-03,+1.67839E-03,+2.41206032E+00,-276.05535E-03
-3.87500E-03,+1.90452E-03,+2.41206032E+00,-332.58801E-03
-3.85000E-03,+2.45729E-03,+2.21733670E+00,-470.77897E-03
-3.82500E-03,+2.30653E-03,+2.41206032E+00,-320.02520E-03
-3.80000E-03,+2.48241E-03,+2.41206032E+00,-370.27646E-03
-3.77500E-03,+3.06030E-03,+2.41206032E+00,-276.05535E-03
-3.75000E-03,+3.28643E-03,+2.21105529E+00,-276.05535E-03
