Zeit t / s;Rate R_B1 / 1/s
5,1;386,2
10,3;352,4
15,5;302,8
20,7;266,4
25,9;243,8
31,099;221,8
36,3;194,2
41,501;177,4
46,7;158,6
51,9;135
57,1;129,4
62,3;115,4
67,5;101,6
72,7;91
77,9;88,4
83,101;77,4
88,3;71,2
93,5;58,4
98,7;61,8
103,905;57,6
109,005;54,6
114,194;48,2
119,406;51,6
124,517;52,2
129,702;45,6
134,894;43,2
140,103;35
145,307;37,2
150,502;39,2
155,708;36,4
160,895;33,6
166,1;32,4
171,21;33,6
176,405;33,6
181,601;30,4
186,804;32,6
192,006;24,4
197,208;24,8
202,308;27,6
207,407;26,6
212,508;23,4
217,607;25
222,802;21,8
228,003;20,6
233,208;19,4
238,399;21,8
243,601;19,8
248,796;18
253,993;20,4
259,195;20,8
264,402;19,4
269,6;19,2
274,796;16,4
280,006;19,4
285,195;15,8
290,401;16,8
295,603;15,2
300,805;15
305,903;13,8
311,103;16,6
316,306;16,6
321,505;12
326,694;12,4
331,898;16,6
337,093;11,2
342,295;11,8
347,497;11,2
352,697;13,6
357,898;14,2
363,095;9,8
368,294;10
373,5;10
378,709;11
383,903;9,2
389;9,6
394,2;10,4
399,399;12
