t;N
5;66,4
10,199;52,6
15,4;50,8
20,599;41,4
25,801;31,4
31;32,4
36,199;27,8
41,4;27,2
46,6;21,8
51,799;18,4
57;17,6
62,2;18
67,4;16
72,6;14,4
77,8;11
83;8,8
88,2;11,4
93,4;6,4
98,6;6
103,8;6,4
109;4,6
114,201;5,8
119,401;4,8
124,6;5,4
129,8;4,6
135;4,6
140,199;4,4
145,399;3
150,599;3,8
155,801;3,2
161,001;3,2
166,201;2,8
171,401;3,6
176,595;3,6
181,703;3,2
186,908;3,8
192,099;4,2
197,301;3,2
202,5;1,6
207,701;1,8
212,9;1,4
218,101;2,4
223,301;1,8
228,5;1,2
233,601;1,8
238,801;1,4
244;1
249,201;2
254,4;2,2
259,601;0,6
264,8;1,4
270,001;2,2
275,2;2
280,4;1,8
285,6;0,8
290,8;1,8
296,001;2,2
301,2;1,6
306,401;1
311,6;1,6
316,8;1,6
322;1,2
327,2;1,2
332,4;0,8
337,6;2,4
342,8;2,2
348,001;0,6
353,201;0,8
358,401;1,2
363,601;0,6
368,8;1,2
374,004;2
379,201;1,6
384,4;2
389,6;0,6
394,801;0,6
