t_a,A_0_Ag_108,dA_0_Ag_108,lambda_Ag_108,dlambda_Ag_108,A_0_Ag_110,dA_0_Ag_110,lambda_Ag_110,dlambda_Ag_110
5.41,81.359886,7.691953,0.027634,0.003496,4.570938,2.988248,0.004216,0.002239
10.18,160.422725,11.534146,0.029381,0.002338,5.442659,2.635830,0.003225,0.001661
20.14,226.553266,12.421336,0.027208,0.001740,7.030256,3.232283,0.003101,0.001518
30.37,280.372296,13.053447,0.027240,0.001614,10.676223,4.338614,0.003696,0.001361
45.34,357.860492,15.555040,0.027974,0.001543,16.320044,5.197762,0.003922,0.001080
60.15,411.307713,17.153559,0.027701,0.001414,17.697975,5.118816,0.003532,0.000969
90.30,432.976058,16.435989,0.027174,0.001410,24.872767,6.416957,0.003803,0.000873
120.34,444.454283,16.958984,0.026018,0.001400,27.858083,6.939889,0.003421,0.000831
300.01,450.478600,19.062307,0.028323,0.001863,65.105456,10.243950,0.004727,0.000555
600.68,448.564001,18.895834,0.027717,0.001876,74.663803,10.707690,0.004498,0.000502
900.42,438.020844,18.885141,0.027667,0.001950,79.953498,11.327887,0.004659,0.000498
