Zeit t / h;Rate R_B1 / 1/s
12,064995000047;1,2
12,0808836111582;1,8
12,0982169444915;1,2
12,1140227778248;1,2
12,1313558333804;0,6
12,1472447222693;1,4
12,1645777778248;0,2
12,1804391667137;1,6
12,1977169444915;2,2
12,2136055556026;1
12,2309391667137;0,6
12,2482722222693;1,2
12,2641058333804;1,2
12,2814111111582;1
12,2973002778248;1,2
12,3146333333804;1
12,3305227778248;1
12,3478005556026;1
12,3636891667137;0,8
12,3810227778248;1
12,3983558333804;1
12,4141888889359;1,6
12,4315222222693;0,6
12,4474111111582;1
12,4647447222693;1,2
12,4806058333804;0,6
12,4979111111582;0,6
12,5138002778248;0,6
12,5311336111582;0,2
12,547022500047;1,4
12,5643280556026;1,2
12,5816611111582;1
12,5975502778248;1,6
12,6148833333804;0,2
12,6307169444915;0,6
12,6480505556026;1
12,6639397222693;0,8
12,6812727778248;1,6
12,6971613889359;0,4
12,7144111111582;1,2
12,7303005556026;1,2
12,7476336111582;0,8
12,7649669444915;1
12,780772500047;1
12,7981058333804;0,8
12,8139947222693;1,2
12,8313280556026;1,2
12,8472169444915;0,8
12,8644944444915;0,8
12,8803836111582;1,2
12,8977172222693;0,4
12,9136061111582;0,6
12,9309388889359;1,8
12,9482727778248;1
12,9641613889359;0,6
12,981495000047;0,8
12,9973561111582;1
13,0146613889359;1
13,0305502778248;1,6
13,0478836111582;0,8
