#Frequency (Hz), S21re (), S21im (), S21dB (dB), S21Ph (rad), Power (dBm), Timestamp (s)
5.2140000000e+09, -9.2816345394e-02, -3.7736061215e-01, -8.2097730873e+00, -1.8119708597e+00, -3.5000000000e+01, 1.7513773112e+09
5.2140200000e+09, -9.4860777259e-02, -3.7846732140e-01, -8.1748240622e+00, -1.8163815476e+00, -3.5000000000e+01, 1.7513773112e+09
5.2140400000e+09, -9.5308974385e-02, -3.7736922502e-01, -8.1961221412e+00, -1.8181844485e+00, -3.5000000000e+01, 1.7513773112e+09
5.2140600000e+09, -9.7376994789e-02, -3.7779828906e-01, -8.1754589667e+00, -1.8230544258e+00, -3.5000000000e+01, 1.7513773112e+09
5.2140800000e+09, -1.0143859685e-01, -3.7708604336e-01, -8.1677665530e+00, -1.8335819353e+00, -3.5000000000e+01, 1.7513773112e+09
5.2141000000e+09, -1.0183214396e-01, -3.7451601028e-01, -8.2208267827e+00, -1.8362812993e+00, -3.5000000000e+01, 1.7513773112e+09
5.2141200000e+09, -1.0277646035e-01, -3.7558308244e-01, -8.1922731686e+00, -1.8379024379e+00, -3.5000000000e+01, 1.7513773112e+09
5.2141400000e+09, -1.0396058112e-01, -3.7422627211e-01, -8.2144574587e+00, -1.8417651041e+00, -3.5000000000e+01, 1.7513773112e+09
5.2141600000e+09, -1.0545557737e-01, -3.7399148941e-01, -8.2105033948e+00, -1.8456338395e+00, -3.5000000000e+01, 1.7513773112e+09
5.2141800000e+09, -1.0530399531e-01, -3.7299954891e-01, -8.2327919564e+00, -1.8459519944e+00, -3.5000000000e+01, 1.7513773112e+09
5.2142000000e+09, -1.0764085501e-01, -3.7251821160e-01, -8.2287816310e+00, -1.8520891875e+00, -3.5000000000e+01, 1.7513773112e+09
5.2142200000e+09, -1.0934416205e-01, -3.7191975117e-01, -8.2309752159e+00, -1.8567388790e+00, -3.5000000000e+01, 1.7513773112e+09
5.2142400000e+09, -1.1242460460e-01, -3.7131601572e-01, -8.2242057702e+00, -1.8647955591e+00, -3.5000000000e+01, 1.7513773112e+09
5.2142600000e+09, -1.1427991092e-01, -3.7088993192e-01, -8.2211954915e+00, -1.8696891278e+00, -3.5000000000e+01, 1.7513773112e+09
5.2142800000e+09, -1.1508706212e-01, -3.7162077427e-01, -8.2002609214e+00, -1.8711187203e+00, -3.5000000000e+01, 1.7513773112e+09
5.2143000000e+09, -1.1670994759e-01, -3.7087306380e-01, -8.2054001403e+00, -1.8756748718e+00, -3.5000000000e+01, 1.7513773112e+09
5.2143200000e+09, -1.1763047427e-01, -3.7010854483e-01, -8.2154894372e+00, -1.8785268411e+00, -3.5000000000e+01, 1.7513773112e+09
5.2143400000e+09, -1.2055688351e-01, -3.6829146743e-01, -8.2340939507e+00, -1.8871440875e+00, -3.5000000000e+01, 1.7513773112e+09
5.2143600000e+09, -1.2076632679e-01, -3.7065196037e-01, -8.1824961990e+00, -1.8857709408e+00, -3.5000000000e+01, 1.7513773112e+09
5.2143800000e+09, -1.2273393571e-01, -3.6861935258e-01, -8.2118458832e+00, -1.8922070243e+00, -3.5000000000e+01, 1.7513773112e+09
5.2144000000e+09, -1.2443185598e-01, -3.6871948838e-01, -8.1976700473e+00, -1.8962654692e+00, -3.5000000000e+01, 1.7513773112e+09
5.2144200000e+09, -1.2704606354e-01, -3.6810424924e-01, -8.1918209850e+00, -1.9031314927e+00, -3.5000000000e+01, 1.7513773112e+09
5.2144400000e+09, -1.2628674507e-01, -3.6788412929e-01, -8.2019817499e+00, -1.9014707493e+00, -3.5000000000e+01, 1.7513773112e+09
5.2144600000e+09, -1.2890531123e-01, -3.6723768711e-01, -8.1964442231e+00, -1.9083735750e+00, -3.5000000000e+01, 1.7513773112e+09
5.2144800000e+09, -1.3136114180e-01, -3.6673837900e-01, -8.1886332073e+00, -1.9147465245e+00, -3.5000000000e+01, 1.7513773112e+09
5.2145000000e+09, -1.3218879700e-01, -3.6532384157e-01, -8.2120892659e+00, -1.9179798905e+00, -3.5000000000e+01, 1.7513773112e+09
5.2145200000e+09, -1.3464683294e-01, -3.6351349950e-01, -8.2312241337e+00, -1.9255314999e+00, -3.5000000000e+01, 1.7513773112e+09
5.2145400000e+09, -1.3618482649e-01, -3.6480289698e-01, -8.1922213834e+00, -1.9280851490e+00, -3.5000000000e+01, 1.7513773112e+09
5.2145600000e+09, -1.3772505522e-01, -3.6327776313e-01, -8.2119875024e+00, -1.9331721999e+00, -3.5000000000e+01, 1.7513773112e+09
5.2145800000e+09, -1.3889218867e-01, -3.6488348246e-01, -8.1692671308e+00, -1.9345095003e+00, -3.5000000000e+01, 1.7513773112e+09
5.2146000000e+09, -1.4072008431e-01, -3.6345255375e-01, -8.1844250932e+00, -1.9401988322e+00, -3.5000000000e+01, 1.7513773112e+09
5.2146200000e+09, -1.4085593820e-01, -3.6378243566e-01, -8.1764796862e+00, -1.9402182709e+00, -3.5000000000e+01, 1.7513773112e+09
5.2146400000e+09, -1.4272177219e-01, -3.6285674572e-01, -8.1805778648e+00, -1.9455379093e+00, -3.5000000000e+01, 1.7513773112e+09
5.2146600000e+09, -1.4463819563e-01, -3.6101269722e-01, -8.2030353937e+00, -1.9518592438e+00, -3.5000000000e+01, 1.7513773112e+09
5.2146800000e+09, -1.4673061669e-01, -3.6110690236e-01, -8.1836198254e+00, -1.9567525318e+00, -3.5000000000e+01, 1.7513773112e+09
5.2147000000e+09, -1.4779418707e-01, -3.6037641764e-01, -8.1897352783e+00, -1.9599882336e+00, -3.5000000000e+01, 1.7513773112e+09
5.2147200000e+09, -1.4924916625e-01, -3.5864403844e-01, -8.2130828532e+00, -1.9651458211e+00, -3.5000000000e+01, 1.7513773112e+09
5.2147400000e+09, -1.5037639439e-01, -3.5889449716e-01, -8.1982157644e+00, -1.9675730160e+00, -3.5000000000e+01, 1.7513773112e+09
5.2147600000e+09, -1.5084056556e-01, -3.5746318102e-01, -8.2236885438e+00, -1.9701020789e+00, -3.5000000000e+01, 1.7513773112e+09
5.2147800000e+09, -1.5335766971e-01, -3.5694226623e-01, -8.2123491273e+00, -1.9765928742e+00, -3.5000000000e+01, 1.7513773112e+09
5.2148000000e+09, -1.5587256849e-01, -3.5911706090e-01, -8.1456743536e+00, -1.9803022299e+00, -3.5000000000e+01, 1.7513773112e+09
5.2148200000e+09, -1.5659700334e-01, -3.5540449619e-01, -8.2149793753e+00, -1.9858193958e+00, -3.5000000000e+01, 1.7513773112e+09
5.2148400000e+09, -1.5991048515e-01, -3.5560905933e-01, -8.1807308597e+00, -1.9933845844e+00, -3.5000000000e+01, 1.7513773112e+09
5.2148600000e+09, -1.6049732268e-01, -3.5478392243e-01, -8.1921193727e+00, -1.9956281012e+00, -3.5000000000e+01, 1.7513773112e+09
5.2148800000e+09, -1.6239163279e-01, -3.5386040807e-01, -8.1933451570e+00, -2.0010386835e+00, -3.5000000000e+01, 1.7513773112e+09
5.2149000000e+09, -1.6425473988e-01, -3.5394653678e-01, -8.1742053392e+00, -2.0052862087e+00, -3.5000000000e+01, 1.7513773112e+09
5.2149200000e+09, -1.6522420943e-01, -3.5309040546e-01, -8.1823678165e+00, -2.0084664710e+00, -3.5000000000e+01, 1.7513773112e+09
5.2149400000e+09, -1.6618281603e-01, -3.5039460659e-01, -8.2277206358e+00, -2.0136515968e+00, -3.5000000000e+01, 1.7513773112e+09
5.2149600000e+09, -1.6858895123e-01, -3.5158544779e-01, -8.1805767393e+00, -2.0179184743e+00, -3.5000000000e+01, 1.7513773112e+09
5.2149800000e+09, -1.7098212242e-01, -3.5109508038e-01, -8.1672263340e+00, -2.0239872334e+00, -3.5000000000e+01, 1.7513773112e+09
5.2150000000e+09, -1.7069976032e-01, -3.4953761101e-01, -8.2011816224e+00, -2.0250876620e+00, -3.5000000000e+01, 1.7513773112e+09
5.2150200000e+09, -1.7019654810e-01, -3.4953922033e-01, -8.2060756113e+00, -2.0239227696e+00, -3.5000000000e+01, 1.7513773112e+09
5.2150400000e+09, -1.7398174107e-01, -3.4878855944e-01, -8.1837617088e+00, -2.0334972676e+00, -3.5000000000e+01, 1.7513773112e+09
5.2150600000e+09, -1.7499957979e-01, -3.4655779600e-01, -8.2180848693e+00, -2.0384080936e+00, -3.5000000000e+01, 1.7513773112e+09
5.2150800000e+09, -1.7605079710e-01, -3.4770756960e-01, -8.1845813116e+00, -2.0394860002e+00, -3.5000000000e+01, 1.7513773112e+09
5.2151000000e+09, -1.7657123506e-01, -3.4508216381e-01, -8.2315921436e+00, -2.0437432819e+00, -3.5000000000e+01, 1.7513773112e+09
5.2151200000e+09, -1.7934305966e-01, -3.4451025724e-01, -8.2145108564e+00, -2.0507672863e+00, -3.5000000000e+01, 1.7513773112e+09
5.2151400000e+09, -1.8097721040e-01, -3.4449967742e-01, -8.1978010932e+00, -2.0545047082e+00, -3.5000000000e+01, 1.7513773112e+09
5.2151600000e+09, -1.8114241958e-01, -3.4358730912e-01, -8.2141203500e+00, -2.0559736769e+00, -3.5000000000e+01, 1.7513773112e+09
5.2151800000e+09, -1.8574929237e-01, -3.4172973037e-01, -8.2021271896e+00, -2.0686787769e+00, -3.5000000000e+01, 1.7513773112e+09
5.2152000000e+09, -1.8578447402e-01, -3.3971956372e-01, -8.2412521031e+00, -2.0712379049e+00, -3.5000000000e+01, 1.7513773112e+09
5.2152200000e+09, -1.8815101683e-01, -3.4290045500e-01, -8.1536100795e+00, -2.0726443548e+00, -3.5000000000e+01, 1.7513773112e+09
5.2152400000e+09, -1.8809607625e-01, -3.4152227640e-01, -8.1810613058e+00, -2.0742211977e+00, -3.5000000000e+01, 1.7513773112e+09
5.2152600000e+09, -1.8916685879e-01, -3.3896926045e-01, -8.2193211035e+00, -2.0798103340e+00, -3.5000000000e+01, 1.7513773112e+09
5.2152800000e+09, -1.9036376476e-01, -3.3936113119e-01, -8.1986167477e+00, -2.0820056276e+00, -3.5000000000e+01, 1.7513773112e+09
5.2153000000e+09, -1.9374901056e-01, -3.3544373512e-01, -8.2373164708e+00, -2.0945750240e+00, -3.5000000000e+01, 1.7513773112e+09
5.2153200000e+09, -1.9395948946e-01, -3.3830899000e-01, -8.1794715462e+00, -2.0913675244e+00, -3.5000000000e+01, 1.7513773112e+09
5.2153400000e+09, -1.9798034430e-01, -3.3564281464e-01, -8.1857858071e+00, -2.1037223229e+00, -3.5000000000e+01, 1.7513773112e+09
5.2153600000e+09, -1.9643202424e-01, -3.3673989773e-01, -8.1821556337e+00, -2.0988716997e+00, -3.5000000000e+01, 1.7513773112e+09
5.2153800000e+09, -1.9516941905e-01, -3.3647945523e-01, -8.2013372943e+00, -2.0964053273e+00, -3.5000000000e+01, 1.7513773112e+09
5.2154000000e+09, -1.9933350384e-01, -3.3319774270e-01, -8.2172948060e+00, -2.1099235474e+00, -3.5000000000e+01, 1.7513773112e+09
5.2154200000e+09, -2.0224846900e-01, -3.3210739493e-01, -8.2044888389e+00, -2.1177963681e+00, -3.5000000000e+01, 1.7513773112e+09
5.2154400000e+09, -2.0210987329e-01, -3.3099359274e-01, -8.2273726597e+00, -2.1189849216e+00, -3.5000000000e+01, 1.7513773112e+09
5.2154600000e+09, -2.0500367880e-01, -3.3206602931e-01, -8.1731619083e+00, -2.1238815166e+00, -3.5000000000e+01, 1.7513773112e+09
5.2154800000e+09, -2.0457188785e-01, -3.3063846827e-01, -8.2053020978e+00, -2.1248653059e+00, -3.5000000000e+01, 1.7513773112e+09
5.2155000000e+09, -2.0637761056e-01, -3.3116176724e-01, -8.1741464738e+00, -2.1280949869e+00, -3.5000000000e+01, 1.7513773112e+09
5.2155200000e+09, -2.0758804679e-01, -3.2838323712e-01, -8.2122918271e+00, -2.1345219703e+00, -3.5000000000e+01, 1.7513773112e+09
5.2155400000e+09, -2.1033513546e-01, -3.2870218158e-01, -8.1734003938e+00, -2.1400355712e+00, -3.5000000000e+01, 1.7513773112e+09
5.2155600000e+09, -2.1090640128e-01, -3.2831525803e-01, -8.1737875371e+00, -2.1418031144e+00, -3.5000000000e+01, 1.7513773112e+09
5.2155800000e+09, -2.1204641461e-01, -3.2552209497e-01, -8.2122927287e+00, -2.1481579518e+00, -3.5000000000e+01, 1.7513773112e+09
5.2156000000e+09, -2.1448197961e-01, -3.2466784120e-01, -8.1984048787e+00, -2.1546008937e+00, -3.5000000000e+01, 1.7513773112e+09
5.2156200000e+09, -2.1512156725e-01, -3.2469803095e-01, -8.1899695618e+00, -2.1559282886e+00, -3.5000000000e+01, 1.7513773112e+09
5.2156400000e+09, -2.1594348550e-01, -3.2382073998e-01, -8.1961184723e+00, -2.1589335914e+00, -3.5000000000e+01, 1.7513773112e+09
5.2156600000e+09, -2.1857345104e-01, -3.2224279642e-01, -8.1925847898e+00, -2.1668014364e+00, -3.5000000000e+01, 1.7513773112e+09
5.2156800000e+09, -2.1883647144e-01, -3.2066851854e-01, -8.2183574193e+00, -2.1696384074e+00, -3.5000000000e+01, 1.7513773112e+09
5.2157000000e+09, -2.1955661476e-01, -3.2054680586e-01, -8.2115145653e+00, -2.1713459690e+00, -3.5000000000e+01, 1.7513773112e+09
5.2157200000e+09, -2.2212310135e-01, -3.1839516759e-01, -8.2184595733e+00, -2.1799321983e+00, -3.5000000000e+01, 1.7513773112e+09
5.2157400000e+09, -2.2481250763e-01, -3.1882977486e-01, -8.1760506840e+00, -2.1849487168e+00, -3.5000000000e+01, 1.7513773112e+09
5.2157600000e+09, -2.2398610413e-01, -3.1893816590e-01, -8.1846701933e+00, -2.1830554924e+00, -3.5000000000e+01, 1.7513773112e+09
5.2157800000e+09, -2.2667461634e-01, -3.1632712483e-01, -8.1974726398e+00, -2.1925652866e+00, -3.5000000000e+01, 1.7513773112e+09
5.2158000000e+09, -2.2724956274e-01, -3.1305715442e-01, -8.2493156228e+00, -2.1986970641e+00, -3.5000000000e+01, 1.7513773112e+09
5.2158200000e+09, -2.2829456627e-01, -3.1495103240e-01, -8.2012501584e+00, -2.1980110008e+00, -3.5000000000e+01, 1.7513773112e+09
5.2158400000e+09, -2.3074480891e-01, -3.1548398733e-01, -8.1595250299e+00, -2.2022864063e+00, -3.5000000000e+01, 1.7513773112e+09
5.2158600000e+09, -2.3241698742e-01, -3.1222844124e-01, -8.1957516822e+00, -2.2106917061e+00, -3.5000000000e+01, 1.7513773112e+09
5.2158800000e+09, -2.3513637483e-01, -3.1212359667e-01, -8.1613179945e+00, -2.2164340319e+00, -3.5000000000e+01, 1.7513773112e+09
5.2159000000e+09, -2.3397015035e-01, -3.1188231707e-01, -8.1812038152e+00, -2.2144172906e+00, -3.5000000000e+01, 1.7513773112e+09
