#Frequency (Hz), S21re (), S21im (), S21dB (dB), S21Ph (rad), Power (dBm), Timestamp (s)
3.2000000000e+09, 3.6455062032e-01, -3.4057235718e-01, -6.0399833633e+00, -7.5140547341e-01, -5.0000000000e+01, 1.7513737522e+09
3.2015000000e+09, 2.4346511066e-01, -4.3455183506e-01, -6.0535475548e+00, -1.0601046688e+00, -5.0000000000e+01, 1.7513737522e+09
3.2030000000e+09, 1.0128640383e-01, -4.8699820042e-01, -6.0655434493e+00, -1.3657385773e+00, -5.0000000000e+01, 1.7513737522e+09
3.2045000000e+09, -5.3755830973e-02, -4.9370768666e-01, -6.0794182502e+00, -1.6792509870e+00, -5.0000000000e+01, 1.7513737522e+09
3.2060000000e+09, -1.9953057170e-01, -4.5808616281e-01, -6.0265906781e+00, -1.9815893228e+00, -5.0000000000e+01, 1.7513737522e+09
3.2075000000e+09, -3.3136868477e-01, -3.7757977843e-01, -5.9795935659e+00, -2.2911039855e+00, -5.0000000000e+01, 1.7513737522e+09
3.2090000000e+09, -4.3011531234e-01, -2.5939500332e-01, -5.9810865704e+00, -2.5989097160e+00, -5.0000000000e+01, 1.7513737522e+09
3.2105000000e+09, -4.9085924029e-01, -1.1421669275e-01, -5.9518637991e+00, -2.9129735202e+00, -5.0000000000e+01, 1.7513737522e+09
3.2120000000e+09, -5.0136560202e-01, 4.1571922600e-02, -5.9671524763e+00, -3.2243207875e+00, -5.0000000000e+01, 1.7513737522e+09
3.2135000000e+09, -4.6750447154e-01, 1.9264224172e-01, -5.9231774139e+00, -3.5324564518e+00, -5.0000000000e+01, 1.7513737522e+09
3.2150000000e+09, -3.8318490982e-01, 3.2761546969e-01, -5.9488840485e+00, -3.8489708224e+00, -5.0000000000e+01, 1.7513737522e+09
3.2165000000e+09, -2.6616010070e-01, 4.2974579334e-01, -5.9257060379e+00, -4.1578678794e+00, -5.0000000000e+01, 1.7513737522e+09
3.2180000000e+09, -1.1969859898e-01, 4.9210670590e-01, -5.9091810863e+00, -4.4737854753e+00, -5.0000000000e+01, 1.7513737522e+09
3.2195000000e+09, 3.8239900023e-02, 5.0030094385e-01, -5.9900753548e+00, -4.7886744502e+00, -5.0000000000e+01, 1.7513737522e+09
3.2210000000e+09, 1.8546387553e-01, 4.6446222067e-01, -6.0184810114e+00, -5.0922993972e+00, -5.0000000000e+01, 1.7513737522e+09
3.2225000000e+09, 3.1635320187e-01, 3.8703626394e-01, -6.0227472844e+00, -5.3976341339e+00, -5.0000000000e+01, 1.7513737522e+09
3.2240000000e+09, 4.1961300373e-01, 2.7078351378e-01, -6.0310566794e+00, -5.7101090422e+00, -5.0000000000e+01, 1.7513737522e+09
3.2255000000e+09, 4.7894787788e-01, 1.2867876887e-01, -6.0915441747e+00, -6.0207138247e+00, -5.0000000000e+01, 1.7513737522e+09
3.2270000000e+09, 4.9509656429e-01, -2.0353883505e-02, -6.0988678938e+00, -6.3242731067e+00, -5.0000000000e+01, 1.7513737522e+09
3.2285000000e+09, 4.6619862318e-01, -1.7054273188e-01, -6.0831350826e+00, -6.6338796946e+00, -5.0000000000e+01, 1.7513737522e+09
3.2300000000e+09, 3.9166098833e-01, -3.0457639694e-01, -6.0877349901e+00, -6.9441508117e+00, -5.0000000000e+01, 1.7513737522e+09
3.2315000000e+09, 2.8145581484e-01, -4.1164678335e-01, -6.0437581982e+00, -7.2542578693e+00, -5.0000000000e+01, 1.7513737522e+09
3.2330000000e+09, 1.4312301576e-01, -4.7918528318e-01, -6.0188156203e+00, -7.5637363737e+00, -5.0000000000e+01, 1.7513737522e+09
3.2345000000e+09, -1.3018418104e-02, -4.9923723936e-01, -6.0309083848e+00, -7.8800523424e+00, -5.0000000000e+01, 1.7513737522e+09
3.2360000000e+09, -1.6849400103e-01, -4.6882331371e-01, -6.0522354658e+00, -8.1990038776e+00, -5.0000000000e+01, 1.7513737522e+09
