#Frequency (Hz), S21re (), S21im (), S21dB (dB), S21Ph (rad), Power (dBm), Timestamp (s)
4.0480000000e+09, 4.5190593600e-01, 8.2485660911e-02, -6.7567049679e+00, 1.8054089096e-01, -3.2000000000e+01, 1.7513763914e+09
4.0480100000e+09, 4.5151117444e-01, 8.2005292177e-02, -6.7656801211e+00, 1.7966558247e-01, -3.2000000000e+01, 1.7513763914e+09
4.0480200000e+09, 4.5207738876e-01, 8.1150710583e-02, -6.7580111170e+00, 1.7761462929e-01, -3.2000000000e+01, 1.7513763914e+09
4.0480300000e+09, 4.5302513242e-01, 7.8740209341e-02, -6.7482971101e+00, 1.7209060390e-01, -3.2000000000e+01, 1.7513763914e+09
4.0480400000e+09, 4.5190963149e-01, 7.8845024109e-02, -6.7687407428e+00, 1.7273212227e-01, -3.2000000000e+01, 1.7513763914e+09
4.0480500000e+09, 4.5304298401e-01, 7.7569000423e-02, -6.7517266146e+00, 1.6957346415e-01, -3.2000000000e+01, 1.7513763914e+09
4.0480600000e+09, 4.5294368267e-01, 7.8298576176e-02, -6.7512383852e+00, 1.7117435962e-01, -3.2000000000e+01, 1.7513763914e+09
4.0480700000e+09, 4.5340603590e-01, 7.6126359403e-02, -6.7495201733e+00, 1.6634733427e-01, -3.2000000000e+01, 1.7513763914e+09
4.0480800000e+09, 4.5271909237e-01, 7.5304381549e-02, -6.7648940861e+00, 1.6482886190e-01, -3.2000000000e+01, 1.7513763914e+09
4.0480900000e+09, 4.5314902067e-01, 7.3180548847e-02, -6.7633664409e+00, 1.6011098672e-01, -3.2000000000e+01, 1.7513763914e+09
4.0481000000e+09, 4.5398914814e-01, 7.3105566204e-02, -6.7479113890e+00, 1.5965873299e-01, -3.2000000000e+01, 1.7513763914e+09
4.0481100000e+09, 4.5378321409e-01, 7.2807669640e-02, -6.7526462831e+00, 1.5909003070e-01, -3.2000000000e+01, 1.7513763914e+09
4.0481200000e+09, 4.5491200685e-01, 7.1318082511e-02, -6.7360022285e+00, 1.5550758546e-01, -3.2000000000e+01, 1.7513763914e+09
4.0481300000e+09, 4.5460847020e-01, 7.0725776255e-02, -6.7433864542e+00, 1.5433789731e-01, -3.2000000000e+01, 1.7513763914e+09
4.0481400000e+09, 4.5373037457e-01, 6.9653399289e-02, -6.7628837095e+00, 1.5232362072e-01, -3.2000000000e+01, 1.7513763914e+09
4.0481500000e+09, 4.5412731171e-01, 6.8820767105e-02, -6.7578359290e+00, 1.5040070048e-01, -3.2000000000e+01, 1.7513763914e+09
4.0481600000e+09, 4.5487836003e-01, 6.7410029471e-02, -6.7477498735e+00, 1.4712276139e-01, -3.2000000000e+01, 1.7513763914e+09
4.0481700000e+09, 4.5466038585e-01, 6.6905237734e-02, -6.7532176113e+00, 1.4610572670e-01, -3.2000000000e+01, 1.7513763914e+09
4.0481800000e+09, 4.5421507955e-01, 6.5101161599e-02, -6.7664578614e+00, 1.4235721871e-01, -3.2000000000e+01, 1.7513763914e+09
4.0481900000e+09, 4.5573082566e-01, 6.3989482820e-02, -6.7410431185e+00, 1.3949872071e-01, -3.2000000000e+01, 1.7513763914e+09
4.0482000000e+09, 4.5568314195e-01, 6.4010910690e-02, -6.7418781529e+00, 1.3955924348e-01, -3.2000000000e+01, 1.7513763914e+09
