#Frequency (Hz), S21re (), S21im (), S21dB (dB), S21Ph (rad), Power (dBm), Timestamp (s)
1.0000000000e+09, 4.9954831600e-01, 4.8745489121e-01, -3.1232767306e+00, 7.7314610629e-01, -5.0000000000e+01, 1.7513735899e+09
1.0080000000e+09, 4.4566404819e-01, -5.3162312508e-01, -3.1763865101e+00, -8.7312921235e-01, -5.0000000000e+01, 1.7513735899e+09
1.0160000000e+09, -5.6778621674e-01, -4.0286812186e-01, -3.1454139590e+00, -2.5244913825e+00, -5.0000000000e+01, 1.7513735899e+09
1.0240000000e+09, -3.5280701518e-01, 5.9988963604e-01, -3.1484933493e+00, -4.1807506690e+00, -5.0000000000e+01, 1.7513735899e+09
1.0320000000e+09, 6.1853766441e-01, 2.9768717289e-01, -3.2678873178e+00, -5.8346289974e+00, -5.0000000000e+01, 1.7513735899e+09
1.0400000000e+09, 2.5386041403e-01, -6.3445281982e-01, -3.3070591315e+00, -7.4733675307e+00, -5.0000000000e+01, 1.7513735899e+09
1.0480000000e+09, -6.5731251240e-01, -2.0866802335e-01, -3.2275625203e+00, -9.1173841024e+00, -5.0000000000e+01, 1.7513735899e+09
1.0560000000e+09, -1.5016210079e-01, 6.7738080025e-01, -3.1749986372e+00, -1.0777421650e+01, -5.0000000000e+01, 1.7513735899e+09
1.0640000000e+09, 6.7952877283e-01, 9.3797311187e-02, -3.2738749520e+00, -1.2429204501e+01, -5.0000000000e+01, 1.7513735899e+09
1.0720000000e+09, 3.9481174201e-02, -6.8714433909e-01, -3.2447268174e+00, -1.4079773157e+01, -5.0000000000e+01, 1.7513735899e+09
1.0800000000e+09, -6.9035273790e-01, 1.7109237611e-02, -3.2159122928e+00, -1.5732741523e+01, -5.0000000000e+01, 1.7513735899e+09
1.0880000000e+09, 7.7934578061e-02, 6.7790764570e-01, -3.3195664508e+00, -1.7393220514e+01, -5.0000000000e+01, 1.7513735899e+09
1.0960000000e+09, 6.6566658020e-01, -1.2712402642e-01, -3.3792954487e+00, -1.9038256339e+01, -5.0000000000e+01, 1.7513735899e+09
1.1040000000e+09, -1.7727126181e-01, -6.6407829523e-01, -3.2566705245e+00, -2.0681212904e+01, -5.0000000000e+01, 1.7513735899e+09
1.1120000000e+09, -6.4380264282e-01, 2.3178069294e-01, -3.2956475740e+00, -2.2336720301e+01, -5.0000000000e+01, 1.7513735899e+09
1.1200000000e+09, 2.8350543976e-01, 6.1649781465e-01, -3.3682234260e+00, -2.3992971775e+01, -5.0000000000e+01, 1.7513735899e+09
1.1280000000e+09, 5.9680724144e-01, -3.2544192672e-01, -3.3527217883e+00, -2.5631972629e+01, -5.0000000000e+01, 1.7513735899e+09
1.1360000000e+09, -3.7692451477e-01, -5.6617635488e-01, -3.3476831593e+00, -2.7290896227e+01, -5.0000000000e+01, 1.7513735899e+09
1.1440000000e+09, -5.3098851442e-01, 4.2393159866e-01, -3.3567135326e+00, -2.8948087376e+01, -5.0000000000e+01, 1.7513735899e+09
1.1520000000e+09, 4.6136066318e-01, 4.8608756065e-01, -3.4762331462e+00, -3.0604435880e+01, -5.0000000000e+01, 1.7513735899e+09
1.1600000000e+09, 4.5121985674e-01, -4.9182963371e-01, -3.5115643698e+00, -3.2244360302e+01, -5.0000000000e+01, 1.7513735899e+09
1.1680000000e+09, -5.3202122450e-01, -4.2314150929e-01, -3.3526842970e+00, -3.3885621861e+01, -5.0000000000e+01, 1.7513735899e+09
1.1760000000e+09, -3.6508506537e-01, 5.6294399500e-01, -3.4660121726e+00, -3.5552975637e+01, -5.0000000000e+01, 1.7513735899e+09
1.1840000000e+09, 5.8336818218e-01, 3.1944251061e-01, -3.5422223267e+00, -3.7198126173e+01, -5.0000000000e+01, 1.7513735899e+09
1.1920000000e+09, 2.7664738894e-01, -6.0880666971e-01, -3.4951827045e+00, -3.8843393555e+01, -5.0000000000e+01, 1.7513735899e+09
1.2000000000e+09, -6.3596242666e-01, -2.2447265685e-01, -3.4214499489e+00, -4.0501390448e+01, -5.0000000000e+01, 1.7513735899e+09
1.2080000000e+09, -1.6908502579e-01, 6.4463788271e-01, -3.5247253777e+00, -4.2154984676e+01, -5.0000000000e+01, 1.7513735899e+09
1.2160000000e+09, 6.4836579561e-01, 1.1610405892e-01, -3.6265203231e+00, -4.3805103384e+01, -5.0000000000e+01, 1.7513735899e+09
1.2240000000e+09, 6.8974435329e-02, -6.5926223993e-01, -3.5715559008e+00, -4.5448849060e+01, -5.0000000000e+01, 1.7513735899e+09
1.2320000000e+09, -6.6468954086e-01, -1.0032379068e-02, -3.5466338515e+00, -4.7108797619e+01, -5.0000000000e+01, 1.7513735899e+09
1.2400000000e+09, 4.6200461686e-02, 6.5527689457e-01, -3.6499676495e+00, -4.8765074902e+01, -5.0000000000e+01, 1.7513735899e+09
1.2480000000e+09, 6.4593750238e-01, -8.6488761008e-02, -3.7190182495e+00, -5.0398587264e+01, -5.0000000000e+01, 1.7513735899e+09
1.2560000000e+09, -1.3375118375e-01, -6.4821380377e-01, -3.5845597713e+00, -5.2039761146e+01, -5.0000000000e+01, 1.7513735899e+09
1.2640000000e+09, -6.3317149878e-01, 1.9690944254e-01, -3.5686380711e+00, -5.3708582921e+01, -5.0000000000e+01, 1.7513735899e+09
1.2720000000e+09, 2.4623805284e-01, 6.0973703861e-01, -3.6410182549e+00, -5.5361686375e+01, -5.0000000000e+01, 1.7513735899e+09
1.2800000000e+09, 5.8922886848e-01, -2.8706204891e-01, -3.6694049954e+00, -5.7002008972e+01, -5.0000000000e+01, 1.7513735899e+09
1.2880000000e+09, -3.3443310857e-01, -5.6465661526e-01, -3.6584267657e+00, -5.8654185539e+01, -5.0000000000e+01, 1.7513735899e+09
1.2960000000e+09, -5.3219282627e-01, 3.8618457317e-01, -3.6414672843e+00, -6.0317993117e+01, -5.0000000000e+01, 1.7513735899e+09
1.3040000000e+09, 4.1694548726e-01, 4.9271279573e-01, -3.8027089519e+00, -6.1963354670e+01, -5.0000000000e+01, 1.7513735899e+09
1.3120000000e+09, 4.6297347546e-01, -4.4429948926e-01, -3.8537011004e+00, -6.3596671596e+01, -5.0000000000e+01, 1.7513735899e+09
1.3200000000e+09, -4.9243530631e-01, -4.3613877893e-01, -3.6380350428e+00, -6.5248600301e+01, -5.0000000000e+01, 1.7513735899e+09
1.3280000000e+09, -3.8703435659e-01, 5.3001308441e-01, -3.6581558654e+00, -6.6913510698e+01, -5.0000000000e+01, 1.7513735899e+09
1.3360000000e+09, 5.5597013235e-01, 3.4286779165e-01, -3.6991694049e+00, -6.8562428562e+01, -5.0000000000e+01, 1.7513735899e+09
1.3440000000e+09, 2.9510900378e-01, -5.7306945324e-01, -3.8143114352e+00, -7.0210289251e+01, -5.0000000000e+01, 1.7513735899e+09
1.3520000000e+09, -6.0721564293e-01, -2.4718689919e-01, -3.6672126129e+00, -7.1870033950e+01, -5.0000000000e+01, 1.7513735899e+09
1.3600000000e+09, -1.9283622503e-01, 6.1384397745e-01, -3.8300989918e+00, -7.3523044236e+01, -5.0000000000e+01, 1.7513735899e+09
1.3680000000e+09, 6.1692780256e-01, 1.4539560676e-01, -3.9605514526e+00, -7.5166770387e+01, -5.0000000000e+01, 1.7513735899e+09
1.3760000000e+09, 1.1101709306e-01, -6.3469845056e-01, -3.8177725983e+00, -7.6795858636e+01, -5.0000000000e+01, 1.7513735899e+09
1.3840000000e+09, -6.4717024565e-01, -5.6322526187e-02, -3.7468594997e+00, -7.8453006149e+01, -5.0000000000e+01, 1.7513735899e+09
1.3920000000e+09, 4.2765154503e-03, 6.4750683308e-01, -3.7749234455e+00, -8.0117217158e+01, -5.0000000000e+01, 1.7513735899e+09
1.4000000000e+09, 6.4021456242e-01, -5.1557537168e-02, -3.8454144647e+00, -8.1761767229e+01, -5.0000000000e+01, 1.7513735899e+09
1.4080000000e+09, -1.0451733321e-01, -6.4057248831e-01, -3.7545288414e+00, -8.3413942498e+01, -5.0000000000e+01, 1.7513735899e+09
1.4160000000e+09, -6.2712079287e-01, 1.5883669257e-01, -3.7829459234e+00, -8.5071064286e+01, -5.0000000000e+01, 1.7513735899e+09
1.4240000000e+09, 2.1000139415e-01, 6.0166114569e-01, -3.9137051849e+00, -8.6729613730e+01, -5.0000000000e+01, 1.7513735899e+09
1.4320000000e+09, 5.8133375645e-01, -2.4495680630e-01, -4.0016846435e+00, -8.8363386586e+01, -5.0000000000e+01, 1.7513735899e+09
1.4400000000e+09, -2.9162654281e-01, -5.7273876667e-01, -3.8397031538e+00, -9.0006354430e+01, -5.0000000000e+01, 1.7513735899e+09
1.4480000000e+09, -5.4666525125e-01, 3.4462684393e-01, -3.7922852956e+00, -9.1668671867e+01, -5.0000000000e+01, 1.7513735899e+09
1.4560000000e+09, 3.8538199663e-01, 5.1064693928e-01, -3.8797992295e+00, -9.3323481557e+01, -5.0000000000e+01, 1.7513735899e+09
1.4640000000e+09, 4.8101961613e-01, -4.2326799035e-01, -3.8664911025e+00, -9.4969400162e+01, -5.0000000000e+01, 1.7513735899e+09
1.4720000000e+09, -4.6172931790e-01, -4.4813948870e-01, -3.8297556948e+00, -9.6618909019e+01, -5.0000000000e+01, 1.7513735899e+09
1.4800000000e+09, -4.0288743377e-01, 4.9529337883e-01, -3.8972979613e+00, -9.8277290957e+01, -5.0000000000e+01, 1.7513735899e+09
1.4880000000e+09, 5.1930761337e-01, 3.5417160392e-01, -4.0327327052e+00, -9.9932416904e+01, -5.0000000000e+01, 1.7513735899e+09
1.4960000000e+09, 3.2351374626e-01, -5.4991668463e-01, -3.9033143193e+00, -1.0156999213e+02, -5.0000000000e+01, 1.7513735899e+09
1.5040000000e+09, -5.7393229008e-01, -2.7755433321e-01, -3.9100924036e+00, -1.0322211487e+02, -5.0000000000e+01, 1.7513735899e+09
1.5120000000e+09, -2.2132661939e-01, 5.9438693523e-01, -3.9547015376e+00, -1.0488689872e+02, -5.0000000000e+01, 1.7513735899e+09
1.5200000000e+09, 6.0772782564e-01, 1.8126320839e-01, -3.9556931412e+00, -1.0652428704e+02, -5.0000000000e+01, 1.7513735899e+09
1.5280000000e+09, 1.2849152088e-01, -6.2478744984e-01, -3.9054494119e+00, -1.0818211813e+02, -5.0000000000e+01, 1.7513735899e+09
1.5360000000e+09, -6.2915146351e-01, -7.7881149948e-02, -3.9588519505e+00, -1.0983258181e+02, -5.0000000000e+01, 1.7513735899e+09
1.5440000000e+09, -2.4154527113e-02, 6.2611138821e-01, -4.0605090870e+00, -1.1148797968e+02, -5.0000000000e+01, 1.7513735899e+09
1.5520000000e+09, 6.2770670652e-01, -2.1314490586e-02, -4.0398600127e+00, -1.1313127862e+02, -5.0000000000e+01, 1.7513735899e+09
1.5600000000e+09, -6.9694578648e-02, -6.2554562092e-01, -4.0212427049e+00, -1.1477908832e+02, -5.0000000000e+01, 1.7513735899e+09
1.5680000000e+09, -6.1793315411e-01, 1.2301725149e-01, -4.0123725056e+00, -1.1643543760e+02, -5.0000000000e+01, 1.7513735899e+09
1.5760000000e+09, 1.7438854277e-01, 5.9609663486e-01, -4.1370243944e+00, -1.1809433324e+02, -5.0000000000e+01, 1.7513735899e+09
1.5840000000e+09, 5.8735817671e-01, -2.1487388015e-01, -4.0764510498e+00, -1.1973122888e+02, -5.0000000000e+01, 1.7513735899e+09
1.5920000000e+09, -2.6545995474e-01, -5.7119011879e-01, -4.0150808922e+00, -1.2138636832e+02, -5.0000000000e+01, 1.7513735899e+09
1.6000000000e+09, -5.4318547249e-01, 3.1348112226e-01, -4.0525300719e+00, -1.2304553668e+02, -5.0000000000e+01, 1.7513735899e+09
1.6080000000e+09, 3.5235247016e-01, 5.1170074940e-01, -4.1342403646e+00, -1.2469593754e+02, -5.0000000000e+01, 1.7513735899e+09
1.6160000000e+09, 4.8504820466e-01, -3.8803616166e-01, -4.1358844733e+00, -1.2633844407e+02, -5.0000000000e+01, 1.7513735899e+09
1.6240000000e+09, -4.3416425586e-01, -4.5328995585e-01, -4.0453642298e+00, -1.2799835277e+02, -5.0000000000e+01, 1.7513735899e+09
1.6320000000e+09, -4.0662071109e-01, 4.6529015899e-01, -4.1812388482e+00, -1.2965788404e+02, -5.0000000000e+01, 1.7513735899e+09
1.6400000000e+09, 4.8319187760e-01, 3.7037590146e-01, -4.3103283315e+00, -1.3129290154e+02, -5.0000000000e+01, 1.7513735899e+09
1.6480000000e+09, 3.4199404716e-01, -5.1927953958e-01, -4.1272560411e+00, -1.3293529524e+02, -5.0000000000e+01, 1.7513735899e+09
1.6560000000e+09, -5.4791390896e-01, -2.9039949179e-01, -4.1505676537e+00, -1.3460111823e+02, -5.0000000000e+01, 1.7513735899e+09
1.6640000000e+09, -2.4423594773e-01, 5.6624037027e-01, -4.1989725127e+00, -1.3625206122e+02, -5.0000000000e+01, 1.7513735899e+09
