#Frequency (Hz), S21re (), S21im (), S21dB (dB), S21Ph (rad), Power (dBm), Timestamp (s)
3.6060000000e+09, -4.6086502075e-01, -1.2839610875e-01, -6.4038811721e+00, -2.8698844255e+00, -4.2000000000e+01, 1.7513755741e+09
3.6060060000e+09, -4.5999836922e-01, -1.2935459614e-01, -6.4143490974e+00, -2.8674653838e+00, -4.2000000000e+01, 1.7513755741e+09
3.6060120000e+09, -4.6086892486e-01, -1.2543591857e-01, -6.4180934592e+00, -2.8758568988e+00, -4.2000000000e+01, 1.7513755741e+09
3.6060180000e+09, -4.6441021562e-01, -1.2604059279e-01, -6.3533068368e+00, -2.8765770861e+00, -4.2000000000e+01, 1.7513755741e+09
3.6060240000e+09, -4.6340298653e-01, -1.2408559024e-01, -6.3800871849e+00, -2.8799601147e+00, -4.2000000000e+01, 1.7513755741e+09
3.6060300000e+09, -4.6108108759e-01, -1.2509511411e-01, -6.4159957057e+00, -2.8766618398e+00, -4.2000000000e+01, 1.7513755741e+09
3.6060360000e+09, -4.6442183852e-01, -1.2530104816e-01, -6.3565917379e+00, -2.8780671667e+00, -4.2000000000e+01, 1.7513755741e+09
3.6060420000e+09, -4.6084403992e-01, -1.2337882817e-01, -6.4282857353e+00, -2.8800037527e+00, -4.2000000000e+01, 1.7513755741e+09
3.6060480000e+09, -4.6189257503e-01, -1.2450197339e-01, -6.4045763781e+00, -2.8783026525e+00, -4.2000000000e+01, 1.7513755741e+09
3.6060540000e+09, -4.6214503050e-01, -1.2373101711e-01, -6.4037812585e+00, -2.8799959124e+00, -4.2000000000e+01, 1.7513755741e+09
3.6060600000e+09, -4.6284583211e-01, -1.2304420769e-01, -6.3947069154e+00, -2.8817596386e+00, -4.2000000000e+01, 1.7513755741e+09
3.6060660000e+09, -4.6319752932e-01, -1.2032172084e-01, -6.4010901558e+00, -2.8874463159e+00, -4.2000000000e+01, 1.7513755741e+09
3.6060720000e+09, -4.6430656314e-01, -1.2120337039e-01, -6.3776105182e+00, -2.8862491113e+00, -4.2000000000e+01, 1.7513755741e+09
3.6060780000e+09, -4.6650299430e-01, -1.1892907322e-01, -6.3494433798e+00, -2.8919724257e+00, -4.2000000000e+01, 1.7513755741e+09
3.6060840000e+09, -4.6358042955e-01, -1.1729845405e-01, -6.4079889521e+00, -2.8937669048e+00, -4.2000000000e+01, 1.7513755741e+09
3.6060900000e+09, -4.6194636822e-01, -1.2158232927e-01, -6.4172868629e+00, -2.8842335184e+00, -4.2000000000e+01, 1.7513755741e+09
3.6060960000e+09, -4.6580716968e-01, -1.1962476373e-01, -6.3584989725e+00, -2.8902132593e+00, -4.2000000000e+01, 1.7513755741e+09
3.6061020000e+09, -4.6401888132e-01, -1.2072752416e-01, -6.3848245626e+00, -2.8870578335e+00, -4.2000000000e+01, 1.7513755741e+09
3.6061080000e+09, -4.6523043513e-01, -1.1774906516e-01, -6.3769814162e+00, -2.8937000094e+00, -4.2000000000e+01, 1.7513755741e+09
3.6061140000e+09, -4.6697536111e-01, -1.1700705439e-01, -6.3496781666e+00, -2.8960835598e+00, -4.2000000000e+01, 1.7513755741e+09
3.6061200000e+09, -4.6619898081e-01, -1.1552089453e-01, -6.3697769436e+00, -2.8986921412e+00, -4.2000000000e+01, 1.7513755741e+09
3.6061260000e+09, -4.6832963824e-01, -1.1572435498e-01, -6.3315737830e+00, -2.8993450551e+00, -4.2000000000e+01, 1.7513755741e+09
3.6061320000e+09, -4.6638837457e-01, -1.1606516689e-01, -6.3640825213e+00, -2.8976877118e+00, -4.2000000000e+01, 1.7513755741e+09
3.6061380000e+09, -4.6554681659e-01, -1.1438074708e-01, -6.3861823866e+00, -2.9006734431e+00, -4.2000000000e+01, 1.7513755741e+09
3.6061440000e+09, -4.6522215009e-01, -1.1409357935e-01, -6.3931384251e+00, -2.9010939162e+00, -4.2000000000e+01, 1.7513755741e+09
3.6061500000e+09, -4.6734780073e-01, -1.1412230879e-01, -6.3556557965e+00, -2.9020883455e+00, -4.2000000000e+01, 1.7513755741e+09
3.6061560000e+09, -4.6495845914e-01, -1.1157181114e-01, -6.4085797407e+00, -2.9060847234e+00, -4.2000000000e+01, 1.7513755741e+09
3.6061620000e+09, -4.6734189987e-01, -1.1330204457e-01, -6.3592613760e+00, -2.9037425014e+00, -4.2000000000e+01, 1.7513755741e+09
3.6061680000e+09, -4.6913290024e-01, -1.0846381635e-01, -6.3479275452e+00, -2.9143842690e+00, -4.2000000000e+01, 1.7513755741e+09
3.6061740000e+09, -4.6596577764e-01, -1.1404208839e-01, -6.3802732142e+00, -2.9015673846e+00, -4.2000000000e+01, 1.7513755741e+09
3.6061800000e+09, -4.6875420213e-01, -1.1079225689e-01, -6.3450185761e+00, -2.9094972829e+00, -4.2000000000e+01, 1.7513755741e+09
3.6061860000e+09, -4.6704468131e-01, -1.1057568342e-01, -6.3759723596e+00, -2.9091171380e+00, -4.2000000000e+01, 1.7513755741e+09
3.6061920000e+09, -4.6700757742e-01, -1.0836450010e-01, -6.3857638569e+00, -2.9135874994e+00, -4.2000000000e+01, 1.7513755741e+09
3.6061980000e+09, -4.6343657374e-01, -1.0737059265e-01, -6.4531179582e+00, -2.9139259677e+00, -4.2000000000e+01, 1.7513755741e+09
3.6062040000e+09, -4.6462634206e-01, -1.0626862943e-01, -6.4364776148e+00, -2.9167417421e+00, -4.2000000000e+01, 1.7513755741e+09
3.6062100000e+09, -4.6553280950e-01, -1.0762015730e-01, -6.4148858144e+00, -2.9144073430e+00, -4.2000000000e+01, 1.7513755741e+09
3.6062160000e+09, -4.6821916103e-01, -1.1106856912e-01, -6.3532631304e+00, -2.9086827320e+00, -4.2000000000e+01, 1.7513755741e+09
3.6062220000e+09, -4.6582752466e-01, -1.0714994371e-01, -6.4115866582e+00, -2.9155046660e+00, -4.2000000000e+01, 1.7513755741e+09
3.6062280000e+09, -4.6705266833e-01, -1.0303535312e-01, -6.4063039373e+00, -2.9244629036e+00, -4.2000000000e+01, 1.7513755741e+09
3.6062340000e+09, -4.6750783920e-01, -1.0452650487e-01, -6.3923742640e+00, -2.9216279527e+00, -4.2000000000e+01, 1.7513755741e+09
3.6062400000e+09, -4.6829497814e-01, -1.0250640661e-01, -6.3863532942e+00, -2.9260986636e+00, -4.2000000000e+01, 1.7513755741e+09
3.6062460000e+09, -4.6843320131e-01, -1.0322935879e-01, -6.3810987276e+00, -2.9246879625e+00, -4.2000000000e+01, 1.7513755741e+09
