#Frequency (Hz), S21re (), S21im (), S21dB (dB), S21Ph (rad), Power (dBm), Timestamp (s)
3.6060000000e+09, -4.6154373884e-01, -1.2690202892e-01, -6.3992420916e+00, -2.8732717637e+00, -3.9000000000e+01, 1.7513756993e+09
3.6060060000e+09, -4.6250918508e-01, -1.2839514017e-01, -6.3751741536e+00, -2.8708056538e+00, -3.9000000000e+01, 1.7513756993e+09
3.6060120000e+09, -4.6199902892e-01, -1.2608900666e-01, -6.3951727497e+00, -2.8751607619e+00, -3.9000000000e+01, 1.7513756993e+09
3.6060180000e+09, -4.6265122294e-01, -1.2641429901e-01, -6.3822169607e+00, -2.8748644840e+00, -3.9000000000e+01, 1.7513756993e+09
3.6060240000e+09, -4.6111235023e-01, -1.2764883041e-01, -6.4031849488e+00, -2.8715277194e+00, -3.9000000000e+01, 1.7513756993e+09
3.6060300000e+09, -4.6363800764e-01, -1.2747606635e-01, -6.3599272958e+00, -2.8732753419e+00, -3.9000000000e+01, 1.7513756993e+09
3.6060360000e+09, -4.6398583054e-01, -1.2432225794e-01, -6.3687922961e+00, -2.8797980329e+00, -3.9000000000e+01, 1.7513756993e+09
3.6060420000e+09, -4.6464002132e-01, -1.2384526432e-01, -6.3595957927e+00, -2.8811082957e+00, -3.9000000000e+01, 1.7513756993e+09
3.6060480000e+09, -4.6487784386e-01, -1.2426806986e-01, -6.3534778194e+00, -2.8803865768e+00, -3.9000000000e+01, 1.7513756993e+09
3.6060540000e+09, -4.6285942197e-01, -1.2345746905e-01, -6.3925404000e+00, -2.8809332007e+00, -3.9000000000e+01, 1.7513756993e+09
3.6060600000e+09, -4.6328550577e-01, -1.2300045788e-01, -6.3872071491e+00, -2.8820835075e+00, -3.9000000000e+01, 1.7513756993e+09
3.6060660000e+09, -4.6373957396e-01, -1.2288603932e-01, -6.3797888557e+00, -2.8825568923e+00, -3.9000000000e+01, 1.7513756993e+09
3.6060720000e+09, -4.6151328087e-01, -1.2084025890e-01, -6.4283370225e+00, -2.8855066999e+00, -3.9000000000e+01, 1.7513756993e+09
3.6060780000e+09, -4.6328964829e-01, -1.2104476243e-01, -6.3961652838e+00, -2.8860332051e+00, -3.9000000000e+01, 1.7513756993e+09
3.6060840000e+09, -4.6333166957e-01, -1.1998578161e-01, -6.4002643053e+00, -2.8881961322e+00, -3.9000000000e+01, 1.7513756993e+09
3.6060900000e+09, -4.6384981275e-01, -1.2044144422e-01, -6.3890936305e+00, -2.8875467245e+00, -3.9000000000e+01, 1.7513756993e+09
3.6060960000e+09, -4.6480745077e-01, -1.1817790568e-01, -6.3824953654e+00, -2.8926167724e+00, -3.9000000000e+01, 1.7513756993e+09
3.6061020000e+09, -4.6459603310e-01, -1.2012244761e-01, -6.3774589829e+00, -2.8885809540e+00, -3.9000000000e+01, 1.7513756993e+09
3.6061080000e+09, -4.6450611949e-01, -1.1924869567e-01, -6.3829824800e+00, -2.8902979704e+00, -3.9000000000e+01, 1.7513756993e+09
3.6061140000e+09, -4.6626895666e-01, -1.1680787057e-01, -6.3629248851e+00, -2.8961283285e+00, -3.9000000000e+01, 1.7513756993e+09
3.6061200000e+09, -4.6651709080e-01, -1.1731594801e-01, -6.3563434130e+00, -2.8952291356e+00, -3.9000000000e+01, 1.7513756993e+09
3.6061260000e+09, -4.6439421177e-01, -1.1449235678e-01, -6.4060000960e+00, -2.8998718690e+00, -3.9000000000e+01, 1.7513756993e+09
3.6061320000e+09, -4.6642446518e-01, -1.1614002287e-01, -6.3631228532e+00, -2.8975547198e+00, -3.9000000000e+01, 1.7513756993e+09
3.6061380000e+09, -4.6543315053e-01, -1.1500543356e-01, -6.3854742894e+00, -2.8993515321e+00, -3.9000000000e+01, 1.7513756993e+09
3.6061440000e+09, -4.6715763211e-01, -1.1189998686e-01, -6.3684349668e+00, -2.9064886421e+00, -3.9000000000e+01, 1.7513756993e+09
3.6061500000e+09, -4.6482330561e-01, -1.1197023094e-01, -6.4092750127e+00, -2.9052084605e+00, -3.9000000000e+01, 1.7513756993e+09
3.6061560000e+09, -4.6607822180e-01, -1.1239460111e-01, -6.3853384822e+00, -2.9049609180e+00, -3.9000000000e+01, 1.7513756993e+09
3.6061620000e+09, -4.6648019552e-01, -1.1299812794e-01, -6.3756964799e+00, -2.9039348690e+00, -3.9000000000e+01, 1.7513756993e+09
3.6061680000e+09, -4.6628150344e-01, -1.1144429445e-01, -6.3857765366e+00, -2.9069873074e+00, -3.9000000000e+01, 1.7513756993e+09
3.6061740000e+09, -4.6567928791e-01, -1.1094602942e-01, -6.3984939750e+00, -2.9077072065e+00, -3.9000000000e+01, 1.7513756993e+09
3.6061800000e+09, -4.6650445461e-01, -1.1149270088e-01, -6.3816449397e+00, -2.9069972036e+00, -3.9000000000e+01, 1.7513756993e+09
3.6061860000e+09, -4.6771246195e-01, -1.1094480008e-01, -6.3626828466e+00, -2.9086899632e+00, -3.9000000000e+01, 1.7513756993e+09
