x_0,x_1,x_2,phi_0,phi_1,d_k,Q_load,f_0,theta,Power (dBm)
-92.43341921902461,9.18269981872965e-09,-2.268229391507201e-19,667.3614597156851,-3.2915828112239475e-08,1078215.4982810686,8387.646054586328,3242728324.5909805,3.073605195380025,-38.0
-132.78251906239066,1.3142222159909829e-08,-3.2396136865118947e-19,667.5235090807362,-3.292377862726667e-08,1079760.0529091514,8373.443489413958,3242728009.4542027,3.0764774831652444,-38.0
-48.4820703015018,4.8703300873958215e-09,-1.210439434677081e-19,667.3284443603368,-3.291420949433075e-08,1079408.9140864518,8379.2938208201,3242727979.718349,3.0754603548873902,-38.0
-138.22545885835117,1.367988810659698e-08,-3.3723900725282193e-19,667.3782016705205,-3.291664906427397e-08,1079544.016545451,8384.76227633078,3242727644.305718,3.076069958328785,-38.0
-153.27671871506567,1.5160688621869364e-08,-3.7366038284098795e-19,667.3581031916483,-3.2915664014697266e-08,1082485.8696590888,8347.397104094494,3242728491.709506,3.0739749935699505,-38.0
-58.04869046782711,5.8066975205015845e-09,-1.4395631559097224e-19,667.3693857959911,-3.291621907645761e-08,1080458.1625642797,8377.201463131341,3242728399.991644,3.0746618839117548,-38.0
-87.02057913331733,8.65173995858703e-09,-2.138021231109999e-19,667.5495435554692,-3.292506026627036e-08,1079869.2135412141,8377.62845033198,3242727922.0000944,3.0760490206064506,-38.0
-99.63724613543718,9.88952336160856e-09,-2.441611088526833e-19,667.2708946288025,-3.291137718586121e-08,1079510.1544750312,8385.169592860893,3242728042.6839848,3.0757733348467418,-38.0
-26.416622960215705,2.7020415261651695e-09,-6.777671053150153e-20,667.5414393941735,-3.2924662168762993e-08,1081599.5243891955,8358.130482072625,3242728096.0149426,3.076404814513588,-38.0
-65.23714986699547,6.513926004969103e-09,-1.6135135676764421e-19,667.3378000746476,-3.291466301354067e-08,1079373.5642453865,8375.08104777271,3242727903.760965,3.075556754358398,-38.0
-78.91982613832329,7.85600805223091e-09,-1.9426124566488658e-19,667.3934107218223,-3.2917390916271136e-08,1079950.2575187313,8368.631937065924,3242728258.846343,3.075520767998301,-38.0
-97.75802033178158,9.707948652149154e-09,-2.397760331125204e-19,667.4628237710353,-3.292080411622248e-08,1081221.2796722488,8360.288371925679,3242728157.676419,3.075725417262108,-38.0
-95.78709729077887,9.512820107832869e-09,-2.349470008939212e-19,667.4436823042008,-3.291986219141337e-08,1079091.7596369113,8372.845106666515,3242728200.377633,3.075374659023175,-38.0
-86.50823735209103,8.601055647558122e-09,-2.125487997021352e-19,667.4353913195066,-3.2919451101694815e-08,1081775.4091722323,8355.835059158348,3242727659.900463,3.076568041659546,-38.0
-121.62127937704574,1.2051389317219278e-08,-2.9730933409455607e-19,667.4047468830946,-3.2917950116395384e-08,1079158.6761494458,8377.221274673368,3242728443.2891936,3.0743831797121492,-38.0
-108.0539528672889,1.0717048173571922e-08,-2.6450136520129987e-19,667.3857981221252,-3.291701128193668e-08,1080345.9455328719,8375.753578632226,3242728097.7928114,3.075654667115459,-38.0
-66.96410859687494,6.68003105673921e-09,-1.6534379906390573e-19,667.5787973569364,-3.292648582851177e-08,1081197.5130990515,8347.110636222462,3242727869.1282253,3.076102854909309,-38.0
-105.23772320276404,1.0438164933926203e-08,-2.575976755783159e-19,667.2777666946077,-3.291170965566226e-08,1079476.3971844795,8374.71402862007,3242728259.5051475,3.0757532575272095,-38.0
-150.4064684380216,1.487808139153304e-08,-3.667042711206215e-19,667.5449279143651,-3.292483167465739e-08,1081155.3224757502,8355.962207721816,3242728041.3651996,3.074790640340842,-38.0
-175.23858265061932,1.731232970100153e-08,-4.2636023034734054e-19,667.574909164354,-3.29263050706188e-08,1080719.0011263257,8376.820277282452,3242728295.0909305,3.0755604548506623,-38.0
-43.499495138065164,4.378500122727028e-09,-1.0890730049669586e-19,667.4146822143921,-3.291843745004207e-08,1080552.4493270714,8363.276534472709,3242727891.8516107,3.076106201841366,-38.0
