x_0,x_1,x_2,phi_0,phi_1,Q_int,Q_ext,f_0,theta,Power (dBm)
-370.0728451092171,2.911126182147768e-08,-5.717880420150102e-19,838.4384361997342,-3.295658118115956e-08,15011.63156308095,13526.353853651384,4053343749.356869,0.016066170752700656,-35.0
-358.2494923454738,2.8181522554433248e-08,-5.535103708913354e-19,838.4819943441775,-3.295829274235757e-08,15006.145493770186,13543.542011720156,4053343895.1228004,0.015529643715798784,-35.0
-564.9634280394899,4.4416508049311176e-08,-8.722777148176915e-19,838.2753689078588,-3.2950178526300174e-08,15028.319351930839,13541.248663078077,4053343839.7180543,0.015899465567782677,-35.0
-366.90979297422194,2.8864717058424623e-08,-5.669841206369078e-19,838.3624216883829,-3.2953600518908725e-08,15041.936267050572,13549.958224983584,4053343765.575182,0.01525521245842738,-35.0
-353.85658159110545,2.783382317970822e-08,-5.466306781203535e-19,838.4720355437837,-3.295789749838337e-08,15005.122015092762,13533.226400066955,4053343549.5369554,0.016269741491341472,-35.0
-384.3698615064943,3.02312558064615e-08,-5.937224199515283e-19,838.4423485695282,-3.295673872157203e-08,14998.145018564039,13538.520035860252,4053343657.3439875,0.016571859019273306,-35.0
-456.98761209730475,3.5938648242385726e-08,-7.058653189175384e-19,838.4565758937676,-3.2957296498149106e-08,15021.843363725444,13527.9388941547,4053344253.753718,0.0153197549856286,-35.0
-528.5838584479817,4.155696532625398e-08,-8.16085635519719e-19,838.4983225791656,-3.295893707965355e-08,15054.343927987215,13519.757150764412,4053343979.2307835,0.014973258999936775,-35.0
-558.6835208190904,4.3921040605759536e-08,-8.625051747594099e-19,838.5675963973654,-3.2961653399225454e-08,15015.863218224124,13533.569647628174,4053343627.4415894,0.01553627140746294,-35.0
-390.53314040324295,3.0716854372605515e-08,-6.03287111145394e-19,838.2647962829735,-3.2949762977716755e-08,15052.975398386705,13544.288053696759,4053344093.69291,0.015259373144934495,-35.0
-609.307647785522,4.790469980357678e-08,-9.408743171292964e-19,838.6072468105156,-3.296321066572968e-08,15003.933643445092,13519.475034644513,4053344219.5752316,0.014597361352742564,-35.0
-473.99705170467405,3.726932138550041e-08,-7.318900697184562e-19,838.4129342649824,-3.2955584744783035e-08,14991.993026463853,13545.318492976528,4053343976.096125,0.01581791854860501,-35.0
-362.49726919784297,2.8514943071425662e-08,-5.600532435722249e-19,838.2891482300928,-3.295072114037841e-08,15066.196739303794,13550.561757656338,4053343681.256212,0.016290788309641563,-35.0
-490.909736640843,3.8596243144943304e-08,-7.579166748165507e-19,838.282562622565,-3.29504628324588e-08,15032.947328329825,13546.641679189905,4053343613.259465,0.016541902154544152,-35.0
-486.48273815138305,3.825081395392178e-08,-7.511786530069756e-19,838.5098742937479,-3.2959390801435684e-08,15004.49215243314,13529.158175867713,4053344220.491022,0.014806681490391271,-35.0
-398.6596023941592,3.135565046836605e-08,-6.158405777027019e-19,838.4177186697228,-3.29557701166367e-08,15029.57218856315,13521.138581968456,4053343606.552685,0.016366005369100604,-35.0
-461.1591798481977,3.626603092542142e-08,-7.122887139652201e-19,838.1771522988854,-3.294632844533768e-08,15044.275201768141,13553.410084186818,4053343898.2609105,0.015682583573110455,-35.0
-377.18022377881715,2.966424839595912e-08,-5.825433887972399e-19,838.4235685213168,-3.29560028386905e-08,15041.021252721734,13540.735226681516,4053343818.554792,0.01603037922247458,-35.0
-329.03732669189884,2.588699978219938e-08,-5.084535892731198e-19,838.3176948940368,-3.2951840846120036e-08,15027.604442580632,13546.894472806727,4053343966.5067754,0.015816660954173386,-35.0
-534.5323271941882,4.202475338423162e-08,-8.252823844185208e-19,838.4525543907289,-3.295714030279892e-08,15006.899956696489,13538.852924564413,4053343645.6885962,0.016374887350255694,-35.0
-362.2176710366427,2.8491901557883153e-08,-5.595795233714844e-19,838.3766650097314,-3.2954151066612944e-08,15033.494999106431,13530.14911222808,4053343537.186555,0.016980932700297116,-35.0
